finding_id,detected_type,regex_confidence,value_length,entropy,entropy_level,has_live_prefix,has_test_prefix,looks_like_placeholder,file_role,environment_hint,is_prod_path,is_test_path,is_docs_path,is_config_file,variable_intent,has_secret_variable_name,has_example_language,has_placeholder_language,has_test_language,storage_exposure,asset_criticality,customer_vertical,label,is_true_secret
evenup_finding_0001,phi,medium,5,1.92,low,0,0,0,documentation,docs,0,0,1,0,unknown,0,0,0,1,internal,low,fintech-legal-hybrid,false_positive,0
evenup_finding_0002,email,medium,31,4.50,high,0,0,1,sample,docs,0,0,1,0,example,0,1,0,1,internal,low,fintech-legal-hybrid,documentation_example,0
evenup_finding_0003,email,medium,31,4.50,high,0,0,1,sample,docs,0,0,1,0,example,0,1,0,1,internal,low,fintech-legal-hybrid,documentation_example,0
evenup_finding_0004,email,medium,22,3.66,medium,0,0,1,sample,docs,0,0,1,0,example,0,1,1,1,internal,low,fintech-legal-hybrid,placeholder,0
evenup_finding_0005,email,medium,22,3.66,medium,0,0,1,sample,docs,0,0,1,0,example,0,1,1,1,internal,low,fintech-legal-hybrid,placeholder,0
evenup_finding_0006,email,medium,22,3.66,medium,0,0,1,sample,docs,0,0,1,0,example,0,1,1,1,internal,low,fintech-legal-hybrid,placeholder,0
evenup_finding_0007,financial,medium,22,0.53,low,0,0,1,test,test,0,1,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0008,credit_card,medium,4,0.00,low,0,0,1,test,test,0,1,0,1,example,0,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0009,financial,medium,22,0.53,low,0,0,1,test,test,0,1,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0010,credit_card,medium,4,0.00,low,0,0,1,test,test,0,1,0,1,example,0,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0011,financial,medium,22,0.53,low,0,0,1,test,test,0,1,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0012,credit_card,medium,4,0.00,low,0,0,1,test,test,0,1,0,1,example,0,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0013,email,medium,28,4.18,high,0,0,1,test,test,0,1,0,0,example,0,1,0,1,internal,medium,fintech-legal-hybrid,documentation_example,0
evenup_finding_0014,email,medium,28,4.18,high,0,0,1,test,test,0,1,0,0,example,0,1,0,1,internal,medium,fintech-legal-hybrid,documentation_example,0
evenup_finding_0015,email,medium,28,4.18,high,0,0,1,test,test,0,1,0,0,example,0,1,0,1,internal,medium,fintech-legal-hybrid,documentation_example,0
evenup_finding_0016,phi,medium,5,1.92,low,0,0,0,source_code,unknown,0,0,0,0,unknown,0,0,0,1,internal,medium,fintech-legal-hybrid,false_positive,0
evenup_finding_0017,phi,medium,5,1.92,low,0,0,0,source_code,unknown,0,0,0,0,unknown,0,0,0,1,internal,medium,fintech-legal-hybrid,false_positive,0
evenup_finding_0018,pii,medium,11,0.68,low,0,0,1,test,test,0,1,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0019,phi,medium,11,1.28,low,0,0,1,test,test,0,1,0,1,example,0,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0020,pii,medium,11,0.68,low,0,0,1,test,test,0,1,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0021,phi,medium,11,1.28,low,0,0,1,test,test,0,1,0,1,example,0,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0022,pii,medium,11,0.68,low,0,0,1,test,test,0,1,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0023,phi,medium,11,1.28,low,0,0,1,test,test,0,1,0,1,example,0,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0024,pii,medium,11,0.68,low,0,0,1,test,test,0,1,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0025,phi,medium,11,1.28,low,0,0,1,test,test,0,1,0,1,example,0,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0026,database_password,medium,18,3.42,medium,0,0,1,iac,unknown,0,0,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0027,api_key,medium,8,2.75,low,0,0,1,iac,unknown,0,0,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0028,api_key,medium,17,3.45,medium,0,0,1,iac,unknown,0,0,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0029,database_password,medium,18,3.42,medium,0,0,1,iac,unknown,0,0,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0030,api_key,medium,8,2.75,low,0,0,1,iac,unknown,0,0,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0031,api_key,medium,17,3.45,medium,0,0,1,iac,unknown,0,0,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0032,database_password,medium,18,3.42,medium,0,0,1,iac,unknown,0,0,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0033,api_key,medium,8,2.75,low,0,0,1,iac,unknown,0,0,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0034,api_key,medium,17,3.45,medium,0,0,1,iac,unknown,0,0,0,1,example,1,0,1,1,internal,medium,fintech-legal-hybrid,placeholder,0
evenup_finding_0035,pii,high,11,2.66,low,0,0,0,log,prod,1,0,0,0,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0036,phi,high,11,3.10,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0037,phi,high,10,2.12,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0038,phi,high,12,3.02,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0039,database_password,high,123,5.04,high,0,0,0,log,prod,1,0,0,0,public,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0040,pii,high,11,2.12,low,0,0,0,log,prod,1,0,0,0,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0041,phi,high,11,3.10,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0042,phi,high,10,2.52,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0043,phi,high,12,2.86,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0044,database_password,high,123,4.99,high,0,0,0,log,prod,1,0,0,0,public,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0045,pii,high,11,2.73,low,0,0,0,log,prod,1,0,0,0,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0046,phi,high,11,3.03,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0047,phi,high,10,2.72,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0048,phi,high,12,2.86,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0049,database_password,high,123,5.08,high,0,0,0,log,prod,1,0,0,0,public,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0050,pii,high,11,2.73,low,0,0,0,log,prod,1,0,0,0,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0051,phi,high,11,3.28,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0052,phi,high,10,2.45,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0053,phi,high,12,3.25,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0054,database_password,high,123,5.01,high,0,0,0,log,prod,1,0,0,0,public,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0055,pii,high,11,2.55,low,0,0,0,log,prod,1,0,0,0,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0056,phi,high,11,2.73,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0057,phi,high,10,2.65,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0058,phi,high,12,2.69,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0059,database_password,high,123,4.92,high,0,0,0,log,prod,1,0,0,0,public,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0060,pii,high,11,2.91,low,0,0,0,log,prod,1,0,0,0,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0061,phi,high,11,3.10,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0062,phi,high,10,2.72,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0063,phi,high,12,3.02,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0064,database_password,high,123,5.03,high,0,0,0,log,prod,1,0,0,0,public,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0065,pii,high,11,2.66,low,0,0,0,log,prod,1,0,0,0,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0066,phi,high,11,3.28,medium,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0067,phi,high,10,2.45,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0068,phi,high,12,2.75,low,0,0,0,log,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0069,database_password,high,123,5.02,high,0,0,0,log,prod,1,0,0,0,public,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0070,cloud_key,high,20,3.55,medium,1,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0071,cloud_key,high,40,4.85,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0072,database_password,high,125,5.05,high,0,0,0,iac,prod,1,0,0,1,public,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0073,api_key,high,177,5.70,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0074,payment_secret,high,32,4.60,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0075,cloud_key,high,20,4.12,high,1,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0076,cloud_key,high,40,4.73,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0077,database_password,high,125,5.06,high,0,0,0,iac,prod,1,0,0,1,public,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0078,api_key,high,177,5.75,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0079,payment_secret,high,32,4.56,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0080,cloud_key,high,20,4.02,high,1,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0081,cloud_key,high,40,4.90,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0082,database_password,high,125,5.02,high,0,0,0,iac,prod,1,0,0,1,public,0,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0083,api_key,high,177,5.75,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0084,payment_secret,high,32,4.54,high,0,0,0,iac,prod,1,0,0,1,secret,1,0,0,0,internet,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0085,pii,low,16,3.00,medium,0,0,0,production_config,prod,1,0,0,1,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,false_positive,0
evenup_finding_0086,pii,low,16,3.00,medium,0,0,0,production_config,prod,1,0,0,1,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,false_positive,0
evenup_finding_0087,pii,low,16,3.00,medium,0,0,0,production_config,prod,1,0,0,1,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,false_positive,0
evenup_finding_0088,pii,low,16,3.00,medium,0,0,0,production_config,prod,1,0,0,0,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,false_positive,0
evenup_finding_0089,pii,low,16,3.00,medium,0,0,0,production_config,prod,1,0,0,1,unknown,0,0,0,0,internet,critical,fintech-legal-hybrid,false_positive,0
evenup_finding_0090,pii,high,11,2.73,low,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0091,financial,high,22,3.21,medium,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0092,financial,high,9,2.42,low,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0093,api_key,high,48,4.93,high,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0094,pii,high,11,2.91,low,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0095,financial,high,22,3.33,medium,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0096,financial,high,9,2.42,low,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0097,api_key,high,48,5.04,high,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0098,pii,high,11,2.66,low,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0099,financial,high,22,3.21,medium,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0100,financial,high,9,2.20,low,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0101,api_key,high,48,5.03,high,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0102,pii,high,11,2.37,low,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0103,financial,high,22,3.21,medium,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0104,financial,high,9,2.20,low,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0105,api_key,high,48,4.86,high,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0106,pii,high,11,2.73,low,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0107,financial,high,22,3.27,medium,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0108,financial,high,9,2.50,low,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0109,api_key,high,48,4.90,high,0,0,0,documentation,prod,1,0,1,0,secret,1,0,0,0,public,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0110,pii,low,16,3.00,medium,0,0,0,config,prod,1,0,0,0,unknown,0,0,0,0,shared,critical,fintech-legal-hybrid,false_positive,0
evenup_finding_0111,pii,high,11,2.91,low,0,0,0,production_config,prod,1,0,0,0,secret,1,0,0,0,shared,critical,fintech-legal-hybrid,true_secret,1
evenup_finding_0112,financial,high,22,3.04,medium,0,0,0,production_config,prod,1,0,0,0,secret,1,0,0,0,shared,critical,fintech-legal-hybrid,true_secret,1
